iteration,avg_val_score,retrained_test_score,cv_ensembled_test_score,post_hoc_surrogate_incumbent_iteration,post_hoc_surrogate_incumbent_mean,dataset_id,repetition,outer_fold,optimizer,metric,problem_type,model,mitigation,reshuffling,inner_split,selection_set_size,random_state,outer_n_folds,outer_n_repeats,experiment_source,raw_experiment_id,experiment_id,normalized_avg_val_score,normalized_retrained_test_score,normalized_cv_ensembled_test_score
32,0.2302224240787567,0.21806913707325437,0.21893763938926059,26,-0.7751663270555695,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.23739050216127972,0.04651316223527108,0.036956303868510884
33,0.3236982299364153,0.23966375021444497,0.24045719677474686,26,-0.7751663270555768,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.490105275625495,0.11295111169756569,0.08724193225095205
34,0.23529325117226807,0.21939869617430086,0.21885186138274149,26,-0.7751663270555516,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2510996422799999,0.05060368146730906,0.03675586289837666
35,0.2594297007340486,0.2075184422714016,0.21573168639560825,26,-0.7751663270555624,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.31635329082863206,0.014052912845550259,0.029464822609741804
36,0.23672575061989054,0.2163750214445016,0.2179619145651055,26,-0.7751663270555538,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.25497244947403247,0.04130104902025498,0.034676287833233274
37,0.24294981955662487,0.2187446388745925,0.21818708183221824,26,-0.7751663270554907,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2717994150930039,0.04859140990961294,0.03520244537983588
38,0.29107050794196343,0.228834276891405,0.2332411219763253,26,-0.775166327055641,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.40189520568464593,0.07963317279144976,0.07037983563840472
39,0.23573331205656345,0.21649296620346536,0.21977397495282214,26,-0.7751663270554828,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2522893606853648,0.04166391766180661,0.03891060332732038
40,0.23612427270272263,0.21895908389089036,0.21898052839252002,26,-0.7751663270553124,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.25334633505665816,0.049251171076070806,0.03705652435357774
41,0.24231028895490136,0.2252316006176016,0.2206853662720878,26,-0.7751663270552527,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.27007042404922416,0.0685491851949597,0.04104028863499706
42,0.251937618147448,0.22585349116486542,0.22248670440898954,26,-0.7751663270551569,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2960982105297673,0.07046249257768752,0.0452495490078174
43,0.2345364937519947,0.22393420826899968,0.22100703379653464,26,-0.7751663270551743,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.24905372485487534,0.06455763013789001,0.04179194227300094
44,0.23800174305845379,0.22145736833076002,0.21915208440555844,26,-0.775166327055155,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2584221350594619,0.05693738866530362,0.037457406293846716
45,0.2432738811283235,0.22067464402127301,0.22002058672156455,26,-0.7751663270551008,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.27267552571787496,0.054529260407732996,0.03948687111645628
46,0.23261176441705733,0.2273546062789501,0.22346242923314463,26,-0.7751663270550196,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.24385015871927754,0.07508082074289152,0.04752956504309501
47,0.23954594554783593,0.23702607651398178,0.23444201406759313,26,-0.7751663270549995,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2625969349310065,0.10483604935013549,0.07318600922028494
48,0.27141200009820055,0.24927088694458743,0.2593283582089554,26,-0.7751663270550807,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.3487478130433232,0.14250841195487274,0.13133894568049764
49,0.23537488031816944,0.22807299708354778,0.22628238119746102,26,-0.7751663270550146,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.25132032923664366,0.07729102065052489,0.05411906193626007
50,0.24280067758328627,0.21105678504031566,0.21929147366615198,26,-0.7751663270548622,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2713962050895121,0.024938972092103065,0.03778312287031483
51,0.28207657182137336,0.21842297135014577,0.22978855721393043,26,-0.7751663270548834,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.3775798172436237,0.047601768159926325,0.06231208659049947
52,0.24813541845677956,0.21814419282895858,0.21791902556184595,26,-0.7751663270548552,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2858188443913661,0.04674407864353121,0.03457606734816616
53,0.5,0.5,0.5,26,-0.7751663270548756,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9667426415638452,0.9139011677772645,0.6937261976347965
54,0.23719895416492776,0.22390204151655513,0.2201385314805283,26,-0.775166327054644,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2562517701023953,0.06445866596292171,0.03976247745039085
55,0.2235527704809368,0.21012394921942001,0.2081296105678504,55,-0.77644722951895,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.21935888443311066,0.022069011018011495,0.011700741631589674
56,0.2606295878035009,0.21880897237948194,0.23048550351689823,55,-0.7764472295189438,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.31959722316125105,0.04878933825955054,0.06394066947284033
57,0.23200353521714567,0.21596757591353566,0.21670741121976322,55,-0.7764472295190464,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2422057919972184,0.04004750280398501,0.03174483864501916
58,0.2293171384381213,0.20722894149939952,0.21017756047349456,55,-0.7764472295191418,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.23494303403308878,0.013162235270832268,0.01648626979354591
59,0.24335551027422486,0.21907702864985423,0.21490607308286158,55,-0.7764472295191457,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.27289621267451863,0.04961403971762278,0.027535578272199084
60,0.23954287678295239,0.21846586035340532,0.21845513810259054,55,-0.776447229519156,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.262588638428877,0.04773372039321783,0.035828823411505596
61,0.25381877102103956,0.2132226797049237,0.22325870646766166,55,-0.7764472295189873,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.30118396633512695,0.031602559873326386,0.04705351773902596
62,0.23696327302187414,0.22495282209641454,0.21847658260422032,55,-0.776447229518875,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.25561459873885256,0.06769149567856492,0.03587893365403915
63,0.23739105884663547,0.21765096929147365,0.22117858980957283,55,-0.7764472295187004,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.25677113113569955,0.04522662796067858,0.04219282421326939
64,0.2402407139174625,0.20563132612798074,0.21524918510893798,55,-0.7764472295187782,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.26447526301311625,0.00824701458072205,0.028337342152735995
65,0.3361261139616527,0.24429576256647811,0.25354906501972896,55,-0.7764472295187375,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.5237044499493834,0.12720195289305355,0.11783423531769914
66,0.23383251908771752,0.22009564247726876,0.223119317207068,55,-0.7764472295187077,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.24715050726637697,0.05274790525829667,0.046727801162557585
