iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning
21,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
22,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
23,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23567142561555976,0.7008642527558478,0.2544694683074066,0.7610465116279079,0.25666462629545983,0.6280137772675107,0.018798042691846817,0.02099320067990007,0.023777360322519425,0.02419950608945276,0.023777360322519425,0.02419950608945276,inf,inf,0.6549418604651178,0.5265212399540786
24,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23567142561555976,0.7008642527558478,0.2544694683074066,0.7610465116279079,0.25666462629545983,0.6280137772675107,0.018798042691846817,0.02099320067990007,0.023777360322519425,0.02419950608945276,0.023777360322519425,0.02419950608945276,inf,inf,0.6549418604651178,0.5265212399540786
25,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
26,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
27,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
28,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
29,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
30,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23407765307206652,0.6783579993333068,0.24972032842940672,0.6302325581395364,0.2544272537307132,0.5793340987370849,0.015642675357340208,0.02034960065864666,0.019028220444519572,0.021962133524706107,0.019028220444519572,0.021962133524706107,inf,inf,0.5241279069767463,0.47784156142365275
