iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning
22,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.005772843362813251,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
23,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.005772843362813251,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
24,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.005772843362813251,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
25,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.007999662283386444,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
26,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.0037782046140532044,0.0037782046140530934,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
27,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.0037782046140532044,0.0037782046140530934,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
28,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
29,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
30,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
31,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
32,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
33,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
34,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
35,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
36,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.12933676905049704,0.23447031259894047,0.03679733727810695,0.23401650589948697,0.033796756041045366,0.004473876926599063,0.004020070227145567,0.00761973109314662,0.008347932541106329,0.0037782046140532044,0.0015513856934799009,inf,inf,0.013239644970414098,0.0048659384309829405
