iteration,avg_val_score,retrained_test_score,cv_ensembled_test_score,dataset_id,repetition,outer_fold,optimizer,metric,problem_type,model,mitigation,reshuffling,inner_split,selection_set_size,random_state,outer_n_folds,outer_n_repeats,experiment_source,raw_experiment_id,experiment_id,normalized_avg_val_score,normalized_retrained_test_score,normalized_cv_ensembled_test_score
27,0.22869343389529728,0.21966675244467315,0.2091696688968947,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.8415777843386656,0.33397950706175455,0.04574100426915542
28,0.22869343389529728,0.21966675244467315,0.2091696688968947,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.8415777843386656,0.33397950706175455,0.04574100426915542
29,0.22869343389529728,0.21966675244467315,0.2091696688968947,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.8415777843386656,0.33397950706175455,0.04574100426915542
30,0.22869343389529728,0.21966675244467315,0.2091696688968947,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.8415777843386656,0.33397950706175455,0.04574100426915542
31,0.22869343389529728,0.21966675244467315,0.2091696688968947,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.8415777843386656,0.33397950706175455,0.04574100426915542
32,0.22768411712511094,0.21519557385486343,0.21197889861039632,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.832475071394589,0.21849903073940224,0.09900386257369186
33,0.22768411712511094,0.21519557385486343,0.21197889861039632,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.832475071394589,0.21849903073940224,0.09900386257369186
34,0.22768411712511094,0.21519557385486343,0.21197889861039632,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.832475071394589,0.21849903073940224,0.09900386257369186
35,0.22768411712511094,0.21519557385486343,0.21197889861039632,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.832475071394589,0.21849903073940224,0.09900386257369186
36,0.22768411712511094,0.21519557385486343,0.21197889861039632,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.832475071394589,0.21849903073940224,0.09900386257369186
