iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning,val_loss
36,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
37,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
38,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
39,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
40,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
41,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
42,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
43,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
44,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
45,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
46,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
