iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning,val_loss
21,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0057728433628132,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
22,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0057728433628132,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
23,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0057728433628132,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
24,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0057728433628132,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
25,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0079996622833864,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
26,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0037782046140532,0.003778204614053,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
27,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0037782046140532,0.003778204614053,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
28,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
29,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
30,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2299964356723414,0.2600009075250429,0.2344703125989404,0.0518585470568298,0.2340165058994869,0.03909026297085953,0.004473876926599,0.0040200702271455,0.0076197310931466,0.0083479325411063,0.0037782046140532,0.0015513856934799,inf,inf,0.010111851768161699,0.004179104477611781,0.2299964356723414
